Date,Travels Name,Total Ratings,Total Reviews,Departure Time,Arrival Time,Operator ID,Route ID,Service ID,Avalable seats,Total Seats,fromCityId,toCityId
25-Dec-2024,IntrCity SmartBus,4.7,471,2024-12-25 20:30:00,2024-12-26 6:20:00,20437,26090661,708,25,34,124,71756
25-Dec-2024,IntrCity SmartBus,4.4,436,2024-12-25 19:20:00,2024-12-26 5:35:00,20437,15995270,155,31,34,124,71756
25-Dec-2024,IntrCity SmartBus,4.4,209,2024-12-25 21:15:00,2024-12-26 7:05:00,20437,31856524,980,26,34,124,71756
25-Dec-2024,IntrCity SmartBus,4.8,335,2024-12-25 20:15:00,2024-12-26 8:25:00,20437,32763073,1047,26,34,124,122
25-Dec-2024,IntrCity SmartBus,4.5,519,2024-12-25 23:00:00,2024-12-26 10:20:00,20437,19938727,426,42,46,124,122
25-Dec-2024,IntrCity SmartBus,4.4,696,2024-12-25 16:45:00,2024-12-26 6:45:00,20437,24187748,660,25,36,124,122
25-Dec-2024,IntrCity SmartBus,4.4,697,2024-12-25 18:35:00,2024-12-26 8:40:00,20437,25301446,686,42,46,124,122
25-Dec-2024,IntrCity SmartBus,4.4,609,2024-12-25 18:10:00,2024-12-26 6:45:00,20437,28942513,810,27,34,124,122
25-Dec-2024,IntrCity SmartBus,4.3,811,2024-12-25 17:10:00,2024-12-26 7:45:00,20437,29517702,832,38,46,124,122
25-Dec-2024,IntrCity SmartBus,4.3,710,2024-12-25 19:10:00,2024-12-26 7:50:00,20437,17071510,226,36,46,124,122
25-Dec-2024,IntrCity SmartBus,4.6,100,2024-12-25 22:15:00,2024-12-26 10:20:00,20437,20474615,485,32,34,124,122
25-Dec-2024,IntrCity SmartBus,4.2,594,2024-12-25 21:05:00,2024-12-26 10:20:00,20437,23157334,637,28,34,124,122
25-Dec-2024,IntrCity SmartBus,4.1,408,2024-12-25 20:45:00,2024-12-26 9:40:00,20437,29188519,817,33,36,124,122
25-Dec-2024,IntrCity SmartBus,4.2,357,2024-12-25 18:40:00,2024-12-26 11:10:00,20437,22469560,595,25,34,124,210
25-Dec-2024,IntrCity SmartBus,4.2,417,2024-12-25 20:45:00,2024-12-26 5:55:00,20437,26090671,709,27,34,71756,124
25-Dec-2024,IntrCity SmartBus,4.4,360,2024-12-25 20:00:00,2024-12-26 6:00:00,20437,15995304,156,27,34,71756,124
25-Dec-2024,IntrCity SmartBus,4.4,207,2024-12-25 21:15:00,2024-12-26 6:25:00,20437,31856528,981,26,34,71756,124
25-Dec-2024,IntrCity SmartBus,4.4,16,2024-12-25 2:30:00,2024-12-25 6:20:00,20437,24619358,676,26,36,71756,122
25-Dec-2024,IntrCity SmartBus,4.2,34,2024-12-25 2:45:00,2024-12-25 7:10:00,20437,25558173,698,40,46,71756,122
25-Dec-2024,IntrCity SmartBus,4.4,111,2024-12-25 3:30:00,2024-12-25 7:50:00,20437,22481170,605,22,42,71756,122
25-Dec-2024,IntrCity SmartBus,4.6,82,2024-12-25 4:00:00,2024-12-25 8:30:00,20437,28617339,786,31,46,71756,122
25-Dec-2024,IntrCity SmartBus,4.4,808,2024-12-25 17:40:00,2024-12-26 6:20:00,20437,25301481,687,35,46,122,124
25-Dec-2024,IntrCity SmartBus,4.6,213,2024-12-25 18:00:00,2024-12-26 6:45:00,20437,32763078,1046,25,34,122,124
25-Dec-2024,IntrCity SmartBus,4.4,433,2024-12-25 21:25:00,2024-12-26 8:05:00,20437,17219841,232,29,34,122,124
25-Dec-2024,IntrCity SmartBus,4.4,423,2024-12-25 19:10:00,2024-12-26 7:45:00,20437,19938721,425,37,46,122,124
25-Dec-2024,IntrCity SmartBus,4.3,604,2024-12-25 19:20:00,2024-12-26 6:55:00,20437,24187787,659,30,36,122,124
25-Dec-2024,IntrCity SmartBus,4.2,535,2024-12-25 22:45:00,2024-12-26 9:00:00,20437,29192302,818,33,36,122,124
25-Dec-2024,IntrCity SmartBus,4.1,552,2024-12-25 18:25:00,2024-12-26 7:05:00,20437,29519179,831,40,46,122,124
25-Dec-2024,IntrCity SmartBus,4.5,84,2024-12-25 19:00:00,2024-12-26 7:45:00,20437,20474518,484,23,34,122,124
25-Dec-2024,IntrCity SmartBus,4.7,27,2024-12-25 22:40:00,2024-12-26 2:50:00,20437,25558175,699,41,46,122,71756
25-Dec-2024,IntrCity SmartBus,4.5,5,2024-12-25 20:25:00,2024-12-26 0:40:00,20437,24619321,677,32,36,122,71756
25-Dec-2024,IntrCity SmartBus,4.1,35,2024-12-25 20:55:00,2024-12-26 2:10:00,20437,22481172,604,40,42,122,71756
25-Dec-2024,IntrCity SmartBus,4.1,365,2024-12-25 15:10:00,2024-12-26 7:50:00,20437,22469150,596,15,34,210,124
25-Dec-2024,IntrCity SmartBus,4.1,238,2024-12-25 16:10:00,2024-12-26 8:40:00,20437,20292798,475,16,34,210,124
25-Dec-2024,IntrCity SmartBus,4.4,512,2024-12-25 18:00:00,2024-12-26 7:50:00,20437,19870912,408,26,34,210,122
25-Dec-2024,IntrCity SmartBus,4.2,296,2024-12-25 17:00:00,2024-12-26 6:40:00,20437,22477316,600,31,34,210,122
